Series Name,"Series Code","Country Name","Country Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Central African Republic","CAF","1.49102370047802","1.1944757244985","5.47829594346117","6.98879341970198","14.898684179755","1.40297017136816","4.94543276106518","4.18072331871267","1.61215686991555","2.68537355266787"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Chad","TCD","-2.07786574641866","2.0292405367826","7.51662364663833","0.222671564624642","1.68197313925661","4.37712665065654","-0.792440525236016","-1.53709962980849","4.27462198610545","-0.971939175419317"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Channel Islands","CHI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Chile","CHL","1.41071107954317","3.34121694259301","3.00744840213047","1.7895555398459","4.71867527854663","4.34877353217053","3.78619355893118","2.18271846868519","2.43488981353057","2.55754475703327"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","China","CHN","3.17532475269199","5.55389892257493","2.61952432645541","2.62105001748115","1.92164162788521","1.43702380935655","2.00000182191943","1.59313600071436","2.07479039965576","2.89923416358227"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Colombia","COL","2.27200227892008","3.4150334477625","3.16930188840055","2.01699224310383","2.89883787761738","4.9898311584953","7.51346024627675","4.31431325695011","3.24056932930569","3.52301932741447"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Comoros","COM","3.35475770328922","1.8426630075621","6.31474450315196","-4.29487331536736","NA","NA","NA","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Congo, Dem. Rep.","COD","7.10000000000037","15.316515913949","9.72182806273364","0.808223101487111","1.24303889760803","0.74419899478147","2.88585107289988","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Congo, Rep.","COG","0.391525011227612","1.75958704273803","5.01018773134471","4.63161619729461","0.912139545450097","3.16909796750829","3.19056179723773","0.450063823285546","1.15277896375523","2.20607305781525"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Costa Rica","CRI","5.66275708420021","4.87799830970702","4.49545314354605","5.23133614174428","4.51920098516954","0.801982005099623","-0.0174788505908217","1.62590692991732","2.22111461526581","2.09604635327807"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Cote d'Ivoire","CIV","1.22645612135479","4.9124339505246","1.30451119915597","2.58117037252936","0.448682076766141","1.25149954781477","0.723178457513217","0.685881065304603","0.359409031380677","-1.10686343994188"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Croatia","HRV","1.03055505333574","2.2727272727273","3.41207349081358","2.21658206429779","-0.215196159576268","-0.464499004644911","-1.12500000000002","1.12937210282347","1.50012501041756","0.771820346498019"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Cuba","CUB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Curacao","CUW","2.77944261312587","2.3325315256217","3.18398746349455","1.33232086152117","1.4987396961643","-0.476542049801405","-0.0472079848940293","1.58558801700345","2.58368756641814","2.62220783425059"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Cyprus","CYP","2.43004084102254","3.28944939564211","2.38905410042317","-0.399357676464426","-1.35498885446315","-2.0969976905311","-1.42916666666665","0.531766496174467","1.43549119531759","0.250370996758493"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Czechia","CZE","1.47272727272722","1.9172191363555","3.28762306610411","1.4382978723404","0.343988589646794","0.309364548494975","0.683504209385703","2.4505339846014","2.14949494949493","2.8478759591805"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Denmark","DNK","2.31092436974789","2.7586822605125","2.3979148566464","0.789071780078062","0.56402054044954","0.452034153691575","0.250000000000031","1.14713216957602","0.813609467455631","0.75813157251162"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Djibouti","DJI","3.95007875923885","5.0687139477799","3.73120950756887","2.70603242872182","1.34186494340157","-0.847389733971996","2.73841208738755","0.568112117084804","0.14797084987711","3.31925372703827"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Dominica","DMA","2.99936630549","1.1312313652648","1.3567714780886","-0.0464116468805992","0.799250372687492","-0.84382698463833","0.141816225732312","0.296252889279487","0.98919111918989","1.50462353858141"
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Dominican Republic","DOM","6.32993220146146","5.79676809206533","3.69449707884777","4.830950967408","2.99864226125219","0.836746346724557","1.61416607245223","3.27955694678546","3.56443426013508","1.81060377042959"
